Player ID,Name,Last Name,Cost Today,Form,Position,Team,Selection %,Goals,Assists,Clean Sheets,GW Points,Total Points,Points/Game,Total Bonus Points,Total BPS,Goals Conceded,Minutes,YC,RC,Saves,Penalties Saved,Penalties Missed,Chance Of Playing Next,Total Cost Change,Cost Change GW,Total Transfers Out,Transfers Out GW,Total Transfers in,Transfers in GW,Influence,Creativity,Threat,ICT Index,Last GW,GW39,GW40,GW41,GW42,GW43,GW44,Difficulty Score,Cost Today,Total Cost Change,Cost Change GW,Position,Team,Index,xGi,xGc
707,Viljami,Sinisalo,£4.00,0,GK,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,£0.00,£0.00,1083,0,2107,0,0,0,0,0,38,,,,,,,0,40,0,0,1,7,#DIV/0!,0,0
711,Jhon,Durán,£5.50,0,FWD,Aston Villa,0,0,0,0,0,11,0.9,0,15,4,126,1,0,0,0,0,,£0.00,£0.00,4424,0,5964,0,12.8,13.4,51,7.4,38,,,,,,,0,55,0,0,4,7,#DIV/0!,0.43,2.77
744,Sil,Swinkels,£4.00,0,DEF,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,£0.00,£0.00,1716,0,2902,0,0,0,0,0,38,,,,,,,0,40,0,0,2,7,#DIV/0!,0,0
745,Oliwier,Zych,£4.00,0,GK,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,£0.00,£0.00,639,0,1149,0,0,0,0,0,38,,,,,,,0,40,0,0,1,7,#DIV/0!,0,0
753,James,Wright,£4.00,0,GK,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,£0.00,£0.00,251,0,464,0,0,0,0,0,38,,,,,,,0,40,0,0,1,7,#DIV/0!,0,0
754,Sebastian,Revan,£4.00,0,DEF,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,£0.00,£0.00,615,0,1115,0,0,0,0,0,38,,,,,,,0,40,0,0,2,7,#DIV/0!,0,0
755,Travis,Patterson,£4.50,0,MID,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,£0.00,£0.00,197,0,379,0,0,0,0,0,38,,,,,,,0,45,0,0,3,7,#DIV/0!,0,0
761,Tommi,O'Reilly,£4.50,0,MID,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,£0.00,£0.00,116,0,214,0,0,0,0,0,38,,,,,,,0,45,0,0,3,7,#DIV/0!,0,0
57,Adam,Smith,£4.30,0,DEF,Bournemouth,0.2,0,1,7,1,74,2,5,400,58,2940,11,0,0,0,0,100,-£0.20,£0.00,69055,0,66284,0,416.6,276.9,88,78.3,38,,,,,,,0,43,-2,0,2,91,#DIV/0!,0.07,1.65
58,Junior,Stanislas,£4.80,0,MID,Bournemouth,0,0,0,0,0,4,1,0,13,1,58,0,0,0,0,0,100,-£0.20,£0.00,11087,0,2196,0,10,22.9,7,3.9,38,,,,,,,0,48,-2,0,3,91,#DIV/0!,0.34,1.07
59,Ryan,Fredericks,£4.40,0,DEF,Bournemouth,0,0,0,0,0,12,1,0,63,11,527,1,0,0,0,0,100,-£0.10,£0.00,6173,0,3546,0,66,26.7,12,10.6,38,,,,,,,0,44,-1,0,2,91,#DIV/0!,0.05,1.73
